L_UV
2.66e45
3.99e43
3.69e44
3.47e45
5.48e43
1.28e45
6.45e44
9.77e43
3.95e44
5.36e44
2.81e43
2.01e45
8.19e45
1.66e44
7.28e44
1.18e45
1.78e44
1.57e45
2.07e45
1.48e45
1.12e45
9.34e44
6.98e44
4.11e44
4.19e45
2.81e44
2.93e45
8.02e44
7.05e44
5.36e44
1.91e45
8.01e43
1.63e45
1.32e45
1.01e45
6.82e44
1.58e44
4.69e44
6.73e44
1.19e44
8.45e44
2.03e45
2.26e44
9.33e44
1.98e45
4.85e45
2.94e44
3.45e44
7.25e44
1.59e45
3.34e45
1.19e45
1.52e44
9.22e45
1.47e45
2.43e44
3.99e45
1.34e46
2.24e44
1.83e45
1.83e45
1.57e45
3.47e45
4.96e44
2.89e44
1.76e45
1.18e45
1.82e44
5.56e44
9.08e44
5.44e44
8.59e44
5.84e44
2.07e45
1.41e45
3.38e44
9.04e44
1.32e43
2.89e44
6.62e44
4.59e44
2.73e44
1.01e45
2.20e45
4.22e44
5.85e43
5.17e44
3.41e45
1.07e45
1.48e45
3.18e44
8.92e44
3.46e44
9.01e44
6.52e44
1.02e45
3.11e44
